config,group,method,chunk_profile,embedding_profile,candidate_pool,rrf_k,rerank_pool,num_queries,recall@1,recall@5,recall@10,recall@10_ci_low,recall@10_ci_high,mrr,ndcg@10,latency_p50_ms,latency_p95_ms,encode_mean_ms,search_mean_ms
bm25,A,bm25,full_recipe_v1,,,,,300,0.8244,0.9561,0.9728,0.955,0.9889,0.8961,0.9106,23.8925,27.759,0.0,23.9701
dense,A,dense,full_recipe_v1,minilm_l6_v2_v1,,,,300,0.4117,0.5628,0.6134,0.5583,0.6702,0.4896,0.5116,29.7595,37.496,11.9493,18.9937
hybrid_rerank,A,hybrid_rerank,full_recipe_v1,minilm_l6_v2_v1,100,60,50,300,0.8878,0.9734,0.9834,0.9701,0.995,0.9344,0.9422,263.13,487.423,11.6057,284.4126
hybrid_rrf,A,hybrid_sql,full_recipe_v1,minilm_l6_v2_v1,100,60,,300,0.5794,0.7661,0.8568,0.8174,0.8946,0.6789,0.7121,47.2765,56.643,12.9238,35.3798
hybrid_rrf_python,B,hybrid_python,full_recipe_v1,minilm_l6_v2_v1,100,60,,300,0.5794,0.7661,0.8568,0.8174,0.8946,0.6789,0.7121,55.488,62.225,13.0419,42.6448
rerank_pool100,C,hybrid_rerank,full_recipe_v1,minilm_l6_v2_v1,100,60,100,300,0.8878,0.9694,0.9868,0.9757,0.9967,0.9342,0.9429,639.918,971.803,10.9622,662.3307
rerank_pool20,C,hybrid_rerank,full_recipe_v1,minilm_l6_v2_v1,100,60,20,300,0.8611,0.9168,0.9268,0.8968,0.9534,0.8982,0.9012,156.087,226.105,10.9129,153.4546
rerank_pool50,C,hybrid_rerank,full_recipe_v1,minilm_l6_v2_v1,100,60,50,300,0.8878,0.9734,0.9834,0.9701,0.995,0.9344,0.9422,338.7075,627.007,11.7494,354.6835
bm25_name,D,bm25,name_only_v1,,,,,300,0.2844,0.3361,0.3668,0.3144,0.4235,0.3158,0.3228,26.7525,30.019,0.0,26.9355
bm25_name_ing,D,bm25,name_ingredients_v1,,,,,300,0.6511,0.7394,0.7568,0.7062,0.8039,0.6936,0.7053,27.521,30.537,0.0,27.4748
dense_name,D,dense,name_only_v1,minilm_l6_v2_v1,,,,300,0.2644,0.3339,0.3479,0.2969,0.4022,0.3003,0.3076,32.7235,39.994,12.329,21.3484
dense_name_ing,D,dense,name_ingredients_v1,minilm_l6_v2_v1,,,,300,0.4244,0.5628,0.6028,0.5494,0.6578,0.4935,0.5147,32.468,39.252,12.0536,21.4738
hybrid_name,D,hybrid_sql,name_only_v1,minilm_l6_v2_v1,100,60,,300,0.2844,0.3428,0.3546,0.3019,0.4122,0.3169,0.3207,52.2005,61.017,14.1867,39.206
hybrid_name_ing,D,hybrid_sql,name_ingredients_v1,minilm_l6_v2_v1,100,60,,300,0.5478,0.6461,0.6828,0.6305,0.7344,0.6019,0.6149,53.245,61.136,13.9324,40.1897
bm25_fieldchunk,E,bm25,field_chunk_v1,,,,,300,0.8944,0.9728,0.9868,0.9757,0.9967,0.9375,0.9453,28.9425,32.965,0.0,29.2071
dense_fieldchunk,E,dense,field_chunk_v1,minilm_l6_v2_v1,,,,300,0.5961,0.7539,0.8012,0.755,0.845,0.6745,0.6982,39.359,46.027,12.5006,27.5637
hybrid_fieldchunk,E,hybrid_sql,field_chunk_v1,minilm_l6_v2_v1,100,60,,300,0.7611,0.8994,0.9318,0.9031,0.9578,0.8319,0.8499,62.7565,97.901,15.5599,52.3957
dense_bge,F,dense,full_recipe_v1,bge_small_en_v15_v1,,,,300,0.5178,0.6501,0.7334,0.6833,0.7794,0.5958,0.6204,31.928,34.234,15.3097,16.7395
dense_e5,F,dense,full_recipe_v1,e5_small_v2_v1,,,,300,0.5728,0.7261,0.7579,0.7089,0.8044,0.6478,0.6659,35.9985,69.582,18.813,22.662
hybrid_bge,F,hybrid_sql,full_recipe_v1,bge_small_en_v15_v1,100,60,,300,0.6744,0.8228,0.9068,0.8727,0.9358,0.759,0.7862,56.899,65.885,16.7283,41.2247
hybrid_e5,F,hybrid_sql,full_recipe_v1,e5_small_v2_v1,100,60,,300,0.7178,0.8728,0.9301,0.9018,0.9568,0.797,0.8218,68.038,152.992,22.014,60.7306
hybrid_rrfk120,G,hybrid_sql,full_recipe_v1,minilm_l6_v2_v1,100,120,,300,0.5761,0.7561,0.8434,0.8017,0.884,0.672,0.7032,67.6665,80.076,14.6397,54.2117
hybrid_rrfk20,G,hybrid_sql,full_recipe_v1,minilm_l6_v2_v1,100,20,,300,0.5861,0.8594,0.9434,0.9164,0.9668,0.712,0.7616,72.468,129.763,15.3894,66.7734
